Name,3rd Grade Math
Description,"Early math practice in 14 areas: intro to multiplication; 1-digit multiplication; addition, subtraction, and estimation; intro to division, understand fractions, equivalent fractions and comparing fractions, more with multiplication and division, arithmetic patterns and problem solving, quadrilaterals, area, perimeter, time, measurement; represent and interpret data."
Publisher,Khan Academy
Grade Level,3rd Grade
Link,https://www.khanacademy.org/math/cc-third-grade-math

Title,Description,Action,URL
Using place value to add 3-digit numbers: part 1,,Watch,https://www.khanacademy.org/math/cc-third-grade-math/imp-addition-and-subtraction/imp-adding-with-regrouping-within-1000/v/carrying-when-adding-three-digit-numbers
Using place value to add 3-digit numbers: part 2,,Watch,https://www.khanacademy.org/math/cc-third-grade-math/imp-addition-and-subtraction/imp-adding-with-regrouping-within-1000/v/why-carrying-works
Adding 3-digit numbers,,Watch,https://www.khanacademy.org/math/cc-third-grade-math/imp-addition-and-subtraction/imp-adding-with-regrouping-within-1000/v/example-adding-with-carrying
Add within 1000,,Do,https://www.khanacademy.org/math/cc-third-grade-math/imp-addition-and-subtraction/imp-adding-with-regrouping-within-1000/e/addition_4
"Unit 3, Quiz 2",,Do,https://www.khanacademy.org/math/cc-third-grade-math/imp-addition-and-subtraction/imp-adding-with-regrouping-within-1000/quiz/imp-addition-and-subtraction-quiz-2
Estimating when subtracting large numbers,,Watch,https://www.khanacademy.org/math/cc-third-grade-math/imp-addition-and-subtraction/estimate-to-subtract-multi-digit-numbers/v/estimating-when-subtracting-large-numbers
Estimate to subtract multi-digit whole numbers,,Do,https://www.khanacademy.org/math/cc-third-grade-math/imp-addition-and-subtraction/estimate-to-subtract-multi-digit-numbers/e/estimate-to-subtract-multi-digit-whole-numbers
Subtraction by breaking apart,,Watch,https://www.khanacademy.org/math/cc-third-grade-math/imp-addition-and-subtraction/strategies-for-subtracting-two-and-three-digit-numbers/v/subtraction-by-breaking-apart
Break apart 3-digit subtraction problems,,Do,https://www.khanacademy.org/math/cc-third-grade-math/imp-addition-and-subtraction/strategies-for-subtracting-two-and-three-digit-numbers/e/break-apart-3-digit-subtraction-problems
Adding and subtracting on number line,,Watch,https://www.khanacademy.org/math/cc-third-grade-math/imp-addition-and-subtraction/strategies-for-subtracting-two-and-three-digit-numbers/v/exercise-for-numberline-addition-and-subtraction
Subtract on a number line,,Do,https://www.khanacademy.org/math/cc-third-grade-math/imp-addition-and-subtraction/strategies-for-subtracting-two-and-three-digit-numbers/e/subtract-on-a-number-line
Methods for subtracting 3-digit numbers,,Watch,https://www.khanacademy.org/math/cc-third-grade-math/imp-addition-and-subtraction/strategies-for-subtracting-two-and-three-digit-numbers/v/methods-for-subracting-3-digit-numbers
Select strategies for subtracting within 1000,,Do,https://www.khanacademy.org/math/cc-third-grade-math/imp-addition-and-subtraction/strategies-for-subtracting-two-and-three-digit-numbers/e/select-strategies-for-subtracting-within-1000
Worked example: Subtracting 3-digit numbers (regrouping),,Watch,https://www.khanacademy.org/math/cc-third-grade-math/imp-addition-and-subtraction/imp-subtracting-with-regrouping-within-1000/v/basic-regrouping-or-borrowing-when-subtracting-three-digit-numbers
